구별,살인,강간,강도,절도,폭력,살인검거율,강간검거율,강도검거율,절도검거율,폭력검거율,범죄,검거
강남구,0.9166666666666666,0.9999999999999998,0.9411764705882353,1.0,1.0,76.92307692307693,77.728285077951,85.71428571428571,42.857142857142854,86.48459383753502,369.7073844099915,4.857843137254902
강동구,0.16666666666666666,0.1556195965417867,0.05882352941176466,0.4675278076785073,0.4379692527708259,75.0,78.84615384615384,133.33333333333331,33.34742180896027,82.89085545722715,403.4177644456746,1.2866068530695511
강북구,0.41666666666666663,0.14697406340057634,0.5294117647058822,0.1331180480803732,0.41544511977118337,114.28571428571428,82.35294117647058,92.85714285714286,43.09623430962343,88.63722159305398,421.2292542220051,1.6416156626246816
강서구,0.41666666666666663,0.46109510086455324,0.4705882352941176,0.37064944384642984,0.6149445834823024,114.28571428571428,72.90076335877863,100.0,60.1145038167939,84.75210477081384,432.05308623210067,2.3339440301540697
관악구,0.5833333333333334,0.6282420749279538,0.41176470588235287,0.5895227843559383,0.6474794422595638,88.88888888888889,69.0625,116.66666666666667,30.56171470805617,80.10915706488781,385.28892732849954,2.860342340759142
광진구,0.16666666666666666,0.39769452449567716,0.5294117647058822,0.7043415859346969,0.40686449767608146,100.0,91.66666666666666,185.71428571428572,42.2009253139458,83.04761904761905,502.62949674251723,2.2049790394790043
구로구,0.5,0.515850144092219,0.588235294117647,0.4564047362755651,0.5434393993564532,75.0,58.362989323843415,73.33333333333333,38.07280513918629,80.87795144662454,325.64707924298756,2.603929573841884
금천구,0.08333333333333334,0.14121037463976943,0.05882352941176466,0.18083961248654468,0.20271719699678226,133.33333333333331,80.79470198675497,100.0,56.66879387364391,86.46543330087634,457.26226249460854,0.6669240468681944
노원구,0.6666666666666666,0.2737752161383285,0.11764705882352938,0.405453893074991,0.4419020378977475,100.0,61.42131979695431,100.0,36.52530779753762,85.53066470804261,383.4772923025345,1.905444872601263
도봉구,0.08333333333333334,0.0,0.23529411764705882,0.0,0.0,100.0,103.921568627451,111.11111111111111,44.96707431796801,87.62609280430397,447.62584686083414,0.31862745098039214
동대문구,0.24999999999999997,0.20461095100864551,0.4705882352941176,0.32938643702906356,0.3793350017876296,100.0,84.39306358381504,100.0,41.090358404846036,87.40188383045526,412.8853058191163,1.6339206251194562
동작구,0.24999999999999997,0.5273775216138328,0.23529411764705882,0.2877646214567635,0.15123346442617092,100.0,48.771929824561404,55.55555555555556,35.442359249329755,83.0890052356021,322.8588498650488,1.4516697251438262
마포구,0.5,0.5533141210374639,0.5294117647058822,0.5353426623609616,0.5348587772613513,100.0,84.01360544217688,71.42857142857143,31.81996086105675,84.44518940663761,371.7073271384427,2.652927325365659
서대문구,0.0,0.1498559077809798,0.0,0.2687477574452817,0.20343224883804079,100.0,80.51948051948052,80.0,40.728476821192054,83.21984435797665,384.46780169864917,0.6220359140643023
서초구,0.5,0.8386167146974062,0.23529411764705882,0.5640473627556513,0.32606363961387197,75.0,63.358778625954194,66.66666666666666,41.40417457305503,87.45310546060858,333.88272532628446,2.4640218347139884
성동구,0.16666666666666666,0.06916426512968299,0.23529411764705882,0.1951919626838895,0.0446907400786557,100.0,94.44444444444444,88.88888888888889,37.14996888612321,86.53846153846155,407.0217637579181,0.7110077522059537
성북구,0.24999999999999997,0.13832853025936598,0.0,0.2590599210620739,0.25813371469431534,100.0,82.66666666666667,80.0,41.51260504201681,83.97464916251698,388.15392087120046,0.9055221660157552
송파구,0.75,0.340057636887608,0.4705882352941176,0.780767850735558,0.6464068644976761,90.9090909090909,80.9090909090909,76.92307692307693,34.85643717196666,84.55235204855842,368.1500479617838,2.9878205874149595
양천구,0.08333333333333334,0.051873198847262214,0.05882352941176466,0.296734840330104,0.365391490883089,166.66666666666669,87.5,50.0,35.55555555555556,80.90872857712236,420.6309507993446,0.8561563928055532
영등포구,0.9999999999999999,0.5561959654178674,1.0,0.6820954431288124,0.7454415445119771,85.71428571428571,62.03389830508475,90.9090909090909,32.99595141700405,82.89473684210526,354.5479631875707,3.9837329530586567
용산구,0.24999999999999997,0.2651296829971181,0.5294117647058822,0.17725152493720842,0.2012870933142653,100.0,89.17525773195877,100.0,37.70070648683366,83.1219512195122,409.99791543830463,1.423080065954474
은평구,0.08333333333333334,0.18443804034582129,0.23529411764705882,0.30534625044851094,0.4168752234537004,100.0,84.93975903614458,66.66666666666666,37.14733542319749,86.92046739540143,375.67422852141016,1.2252869652284248
종로구,0.33333333333333337,0.31412103746397696,0.35294117647058826,0.4022246142805884,0.2881658920271719,83.33333333333334,76.30331753554502,81.81818181818183,38.324175824175825,84.21282163105103,363.99183014228703,1.6907860535756591
중구,0.08333333333333334,0.19596541786743515,0.23529411764705882,0.5328310010764262,0.26349660350375403,66.66666666666666,65.29411764705883,66.66666666666666,33.712715855573,88.3093525179856,320.6495193539507,1.3109204734280078
중랑구,0.9166666666666666,0.24495677233429397,0.35294117647058826,0.384642985288841,0.486235252055774,92.3076923076923,79.14438502673798,81.81818181818183,38.82903981264637,84.54513523006673,376.6444341953252,2.3854428528161638
